comment_text,label
"'Pain is not the worst thing'? You arrogant, unfeeling, compassionless...

I was right about you and your kind: you don't give a nickel about suffering humanity. You are wrapped up so tightly in faux moral principles and abstract casuistry, you forget that people are meant to be at the heart of human concern, not moral legalism.

I shall say to you what Jesus said to those like you in his time: go away and think on this. I desire mercy, not sacrifice.",0
"""Low intelligence Japanese""?  I've heard Pohtagee jokes, Hawaiian jokes, Pake jokes, but that's a first.",1
"Nope, yet another ""expert"" showing off their ignorance and inability to think, or even remember recent history..

Trunp's feud with US intelligence makes us more safe.  If the government and the fakestream media would have done their jobs and questioned the shady CIA ""intelligence"" that claimed Saddam had WMDs the entire world would have been safer and much better off.

The Iraq War led directly to more terrorism, more instability and a horrible refugee crisis.  These so-called ""experts"" writing these articles have created the nightmare the world is living in now.  The best course of action is to do the exact opposite of what they advise.",0
"""Allowing concealment of identity in public ... absurd.""

Why?

Seriously.

I see cars all the time with windows too dark for me to possibly see who I'm on the road with. None of you seem to be barking about this.

I see Asians wearing health masks that cover half their faces almost every day. I've never seen a province get on its high horse about that.

Guys in hoodies with sunglasses. I couldn't pick them out in a line-up if I had to, but apparently, that's just their right.

Ah. But not this.

Racism. Hypocrisy. Full stop. No argument.",1
"Henry Louis Mencken said, “The men the American people admire most extravagantly are the most daring liars; the men they detest the most violently are those who try to tell them the truth. ... On some great and glorious day the plain folks of the land will get their heart’s desire at last and the White House will be adorned by a downright moron.”",1
What dogma?,0
Parents should pay for their children’s education.  It’s scandelous how much childless people subsidize parents.,0
"No just sick of you. Even when presented with facts you disagree every damn post  that is of conservative view. It's not the facts, which seem have been proven false with polls over and over again, its you. Let's see what Nate silver has to say about the French poll. He was so close with the trump poll and I remember you posting his poll facts non stop.",0
"Here in Austin, Texas, half of my property tax is pegged for the community colleges and public schools. The total tax on my $340K home is about $5K. The trade-off is Texas has no state income tax. Hawaii already has a high income tax rate, plus a very high cost of living. An increase in property taxes would make rents and home prices prohibitive.",0
Referring to a hard left/right paradigm is the thinking of either the intellectually lazy or the hidebound ideologue.,0
"No, the accusations of ""white privilege"" always seem to come from racially obsessed, self-hating white people. It's practically pathological - maybe these people are in need of psychotherapy.",1
"In 2012, white males were 38 percent of the population and committed 4,582 murders. That same year, black males were just 6.6 percent of the population but committed a staggering 5,531 murders.

In other words: black people–at just a fifth of the size–committed almost 1,000 more murders than their white counterparts.",1
jesus h... you guys cant even have fun..,0
"Oh I see, the old double standard. Call your opponents goofy, and liars and snow coward, but when they call YOU names like ""sot"" that aren't quite so insulting, well, that's just looking for trouble. You old sot.",0
Trump  is all powerful he can grab China's genitals if he wants to.,1
"Referring to a response from Judah when asking what metric he would watch. So far the only person who has mention one was GRHV.  ""angry white people""
""doesn't have any ideas"" ""constant stream of petulant, boastful tweets"" ""skies could also be darkened with flying pigs""

There's your specifics :-)",1
"If no Assad then what? 
ISIS, Muslim Brotherhood or another form of theocracy like in Iran?",0
"O'Leary needs to be added to all these conversations.  He is copying almost exactly the Trump strategy.  All Reform Conservatives try to make Canada American.  He is the latest.  If in Canada we still value science and facts, then he will be just as much of a problem as Trump is.",0
"They always say, the biggest crooks are those in three piece suits.  Too bad for PKF. Who paid for the losses I
wonder if at all.  Hopefully  Judge Trader gives him the max 20 year term as forget about getting much of 
the money he embezzeled back.   If he does get prison, I do not
envy him.  State prison is a  real hell hole.   He is in for a real rude awakening . 
It would have been smarter for him to have committed a federal
offense.  Doing Federal time is way, way better as most white collar criminals end up in ""Club Fed"" type of minimum security facilities on the mainland.",0
"""This could include a new agency called the “FutureSkills Lab” that would identify in-demand skills and options for quick training courses. ""

This kind of retraining always create jobs and huge profit, for those who train, not for those who are trained.",0
Red snapper from the Bering Sea;delicious soup.,0
"I don't think so. LoL has many pseudonyms, but R&R is a different person.",0
"My father fought the Waffen SS in Normandy -specifically, the 1st and 12th SS Panzer Divisions- and he watched several of his best friends die all around him on the slopes of Verrieres Ridge outside of Caen, in July of 1944.

Dad had ZERO tolerance for Nazis, fascists, neo-Nazis, the Klan, and white supremacists of all stripes, and he carried these values with him for the rest of his life.  

Trump is always pandering to the Greatest Generation and to the values of the 1950s. -Doesn't he realize that this entire generation of white males fought AGAINST Nazis, fascists, and the racist, militarist regime of Imperial Japan?  

Anyone who doesn't stand up against fascists is not only ignorant of history, they are betraying the values of their own fathers and grandfathers. 

I am militantly anti-fascist. I am proud of this fact, and I will never apologize for it.",1
Dakota pipeline was not killed by the CoE or anyone else.  It's construction was stayed in order that a new route be determined in order to placate the Standing Rock Sioux.  The Dakota is still on.,0
"Trump is the perfect candidate for the poorly educated white folks that elected him. He makes fun of all the people they fear and hate. It will be interesting to see what he does with them. He enjoys abusing people that he thinks are beneath him. He already calls them ""poorly educated"", with a smile. He is their pimp now. BTW, pimping runs in his family. His grandfather ran a brothel during the Yukon gold rush. He ran back to NY when the Mounties showed up.",1
"So you're saying that only Muslim parents have concerns about morality in public schools? Correct me if I'm wrong, but your bigotry is showing.

Are there any parents that don't want their children to attend a school with moral standards?",0
"A guy who flirts with white power, now has power in the White House.",1
"No mainstream group is demanding that Spanish be ""given official status"".  But who knows what the future holds...?  

Well, we do know it holds this:

""Non-Hispanic whites will remain the largest racial or ethnic group in the overall US population but will become 𝒍𝒆𝒔𝒔 𝒕𝒉𝒂𝒏 𝒂 𝒎𝒂𝒋𝒐𝒓𝒊𝒕𝒚, the projections show. Currently 62% of the population, 𝒕𝒉𝒆𝒚 𝒘𝒊𝒍𝒍 𝒎𝒂𝒌𝒆 𝒖𝒑 𝟒𝟔% 𝒐𝒇 𝒊𝒕  in 2065.""

Better start practicing, pretty soon you'll have to roll your ""R""s wherever you go.",1
"I agree.  The trials should be held in Washington, DC and/or NYC where there are Black juries and Black judges. They will give these Mormons a fair trial.",1
"thereader
Neither terrorism nor attacking innocent countries e.g. Iraq, were justified. Retaliating, e..g. 9/11 and France and Germany and US and Spain, etc after being attacked e.g. Palestine, Afghanistan, Iraq, Libya, Syria, etc is understandable.",0
"Sure, there can be other reasons for foreign enrollment to be down.  However, the message is clear from the Trump administration: if you are not white, coming to America to study is dangerous and can result in death.  That one FACT is what parents cannot overcome.",1
"Ok Sir John, ignore the news sites then.   

Go to the polling company's site.  Gallup has been running a daily tracking poll based on telephone interviews (not the less reliable online polling) of 1500 adults.   MOE +/- 3%

Results of Trump approval/disapproval:

January 22, 2017:  45% approve / 45% disapprove:  that's the high water mark for Trump's approval.   The daily tracking shows a steady decline.

March 20, 2017: 39% appove / 56% disapprove.

What are you relying on for your statement that Trump's approval rating was at, and remains at, 51%?",0
"You may have to forgive liberals being a little hysterical, but Trump has said a lot of racist and insensitive things. It's funny how character, morals, the things a person says, the views a person has seemed to matter so much just a short time ago! It seems it didn't take much to jettison these ideals from the minds of religious and conservative voters. Racist things Trump has said are easy to find:
 “Black guys counting my money! I hate it. The only kind of people I want counting my money are short guys wearing yarmulkes… Those are the only kind of people I want counting my money. Nobody else…Besides that, I tell you something else. I think that’s guy’s lazy. And it’s probably not his fault because laziness is a trait in blacks,”  
“When Mexico sends its people, they’re not sending the best. They’re not sending you, they’re sending people that have lots of problems and they’re bringing those problems with us. They’re bringing drugs. They’re bringing crime. They’re rapists…",1
"One may not like the racist behavior of that fan (assuming he is a Bosox fan) but isn't that person free to spout his hate under our ""freedom""? He didn't commit any acts of violence as far as I know so when did we stop people from saying stupid things? If that is the case, almost every one of us, including me, would be subject to being banned from somewhere. It's probably true at least 30% of whites are racists (maybe the same for any race) so we're going to start banning everyone from events for being a racist? Heck, NASCAR events won't have any fans if that was the case.",1
"There  is no evidence that Steve Bannon is a white nationalist.

There is no evidence  that Trump has ever said or ""do"" anything antisemitic.

Please stop tarring those of us who support the president as being secret anti Semites.   There is no evidence for those empty claims.

Though there is an uptick in anti semitic acts, let the guilt be tagged to those who actually commit those acts -- like the young Israeli American who was recently found to be the person responsible for many of the threats to Jewish centers.",1
"Hope they make Crime Stoppers as there will be a reward.  Coincide that with playing the video on TV news and garans ball bearings, somebody
will drop a dime on these two miscreants.",0
"It matters not whether the editors want Trump to fail. He is failing spectacularly on his own, with no one's help or wishes.",0
"Trump promised: It will be the greatest! Trump and Ryan's congress will only eliminate 2 parts:the medicare expansion, and the insurance mandate. It will then resemble Newts 1993 plan! The ruling class Conservatives will rejoice, while the rest of us will be left with the same skyrocketing insurance rates, medical costs, and runaway prescription drug costs! If you think you'll  have no worries being on  your employers plan, wait until they decide its unaffordable to maintain such benefits.  Perhaps we all can save a little by eating the new catfood option!",0
"Interesting self appreciation!! In India nobody remembers about 1962 china war being its modern India not like a censored/ closed china.
China wants world wealth but China does not care about the world and it trying to become GLOBAL BULLY

world uses facebook but china copied created another facebook for chinese
world uses google but china copied the idea and created china's google
EVERYTHING IS COPY!! without any SHAME !! Now talks like SAINT??",1
"Oh wow, you've moved on from exclamation points to question marks.  I guess that was from your third grade lesson.  You can't hide from the fact that you remain a highly uneducated, whiney, white male who screams at the world for having no accomplishments.   White males like you are a total embarrassment to the county.  Given everything to be successful and you squander it by quitting school, joining nazi and racist groups, standing behind Trump in West Virginia, carrying torches in Virginia and all the while complaining about your plight.  Real Americans don't whine, the achieve.  Didn't the military instill you with any pride or guts?  Or do you still blame mommy and daddy for not giving you enough.  You hate that I know exactly who you are.  Of course you want me to be nice, but I'm not nice to racists and nazis like you.  White males who complain about the world being unfair are really pathetic losers.  So keep on complaining and I'll keep pointing out to the world who you are.",1
"why would a Chinese, Black etc. prefer a visible minority Sikh who  is not Chinese, Black etc over Anglo or European
simply because ""Anybody  but Caucasian""
this is Fake thinking
Visible Minority is not a  voting Bloc",1
Watson does not care because he cannot be held accountable in any way.  He is blind to the intent of the temporary travel ban and the events it could possibly prevent.  Interpretation of the law by emotion.  Using this criteria anyone can be a judge....and not be held accountable.,0
"copied, pasted: The dubious Kalergi plan takes another hit. Personally I LIKE the differences between people & places. When I see a black girl I think is sexy for example, it's often the very darkness of her skin I find all the more sexy, and I am as white as Trudeau's face when he looks at the latest approval ratings. Thanks a lot so called open-borders-globalists, but I would prefer that we DIDN'T all mix together in some human stew that leaves everybody looking the same in 100 years; I like my sexy coffee black and would prefer it not all be served cappuccinos & lattes.",1
Are you a scientist?,0
"In other words, somewhere largely white, whether Europe, Canada, or (as some celebrities vowed) South Africa?

Deplorable!",1
"Don't worry Charlie Bussell, there are plenty of anti-Hillary Clinton articles in the Anchorage Daily News for angry white guys like you.  Don't get greedy!",1
People like you.,0
